User,Shifting_Congruent_RT_Diff,Shifting_Incongruent_RT_Diff,Shifting_Congruent_FA_Diff,Shifting_Incongruent_FA_Diff,Memory_Hits_Diff,Memory_PR_Diff,Memory_Attempts_Diff,Memory_FA_Diff,Memory_Return_Efficiency_Diff
472,-0.0515062665492276,0.0081360777396568,0.0,-0.04583333333333331,0.0,0.009548433775961873,-0.03125,-0.014810606060606104,0.0487815133212004
507,0.12188604684198151,0.13852554339228423,0.15625,0.4208333333333334,0.019589552238806,0.057935393258427004,-0.0446428571428572,-0.026249999999999996,0.00431346525096532
508,0.12445272673352109,0.011672522172886501,0.0,-0.0249999999999999,-0.0422721916732128,-0.08588961950970375,-0.03125,0.014583333333333295,0.016790365995568934
509,0.019147733980981574,-0.02737964135578269,-0.0178571428571428,0.2458333333333333,0.0723684210526315,0.01426838610827369,0.09375,0.17761363636363642,-0.2247929361550286
513,0.03187533393928439,0.0984641614522979,0.0,0.1125,0.0394736842105263,0.0026988636363635132,0.03125,0.065530303030303,-0.14944503346865778
551,0.11822358524941812,0.09551957656611809,0.0,0.11250000000000002,0.0,-0.004213483146067509,0.0,0.0075,-0.038926630434782616
550,0.1897442819607288,0.010248965204443516,0.03125,0.1375000000000001,-0.1695906432748538,-0.3077965398365678,-0.03125,0.12863636363636372,-0.08165677939734761
545,0.1814909996992092,0.15292927123285702,-0.03125,-0.0624999999999999,0.0394736842105263,0.06156845846101472,0.03125,0.0012500000000000011,-0.01456248428070428
542,-0.06679595577459052,-0.020307991826861216,0.0,0.0,0.0,0.005617977528089901,0.0,-0.0099999999999999,0.047183794466403195
541,0.1933012285249116,0.1739343112270817,-0.03125,0.1291666666666667,0.0413393558523173,0.09864232209737817,0.09375,0.010416666666666602,-0.02185446040635375
539,0.0986234689061807,0.12343712524108588,0.0,0.1708333333333333,0.0629418695993715,0.04472835801838615,0.09375,0.11583333333333329,-0.19703108825051752
537,0.09548212090973021,0.18355072598339417,0.2604166666666666,0.0,0.0394736842105263,-0.03869967228464416,0.0,0.1225000000000001,-0.17602232205814827
535,0.07944523902679429,0.06970846628187,0.0,0.024999999999999998,0.0,0.022505958461014608,0.0,-0.026780303030303,0.06890510557893081
533,0.19433103651865163,0.16474294953066548,0.0,-0.125,0.0357423409269443,0.04458684456928841,0.03125,0.026249999999999996,-0.02619675061287996
532,0.009018250799882804,0.030259692828971382,0.0,-0.0708333333333334,0.0,0.019696969696969824,0.0,-0.021780303030303,0.044326836917562784
531,0.1727911589998219,0.1559289080436181,-0.125,-0.04166666666666669,0.1539473684210526,0.031155303030303116,0.21875,0.17746212121212127,-0.07735963633141041
527,-0.07175380574364529,-0.0805435015436092,-0.0416666666666666,-0.1125,0.0,0.0,0.0,0.0,0.0
